song_id;song_name;popularity;is_collaboration;artist_names;artist_count;all_genres_list;avg_artist_betweenness;genre_heterogeneity_index;danceability;energy;valence
0pqyzGaS6qpdHs3bzjVYzb;Sem Contraindicação (feat. Bruno & Marrone) - Ao Vivo;50;True;"Diego & Victor Hugo; Bruno & Marrone";2;['sertanejo pop, sertanejo universitario', 'sertanejo, sertanejo pop, sertanejo universitario'];0.0043304678193116335;1.5;0.647;0.873;0.612
7EmGUiUaOSGDnUUQUDrOXC;Wolves;17;True;"Selena Gomez; Marshmello";2;['dance pop, pop, post-teen pop', 'brostep, pop, progressive electro house'];0.00048295180141021924;2.5;0.715;0.802;0.327
5k38wzpLb15YgncyWdTZE4;Him & I (with Halsey);76;True;"G-Eazy; Halsey";2;['hip hop, indie pop rap, pop rap, rap', 'dance pop, electropop, etherpop, indie poptimism, pop, post-teen pop'];4.829518014102193e-05;5.0;0.589;0.731;0.191
47zBTlbsiXs9ooyPo7Z7VT;Contatinho (feat. Luan Santana);49;True;"Nego do Borel; Luan Santana";2;['baile pop, funk carioca, funk das antigas', 'funk carioca, sertanejo pop, sertanejo universitario'];0.010518460257666281;2.5;0.663;0.845;0.757
6gquljDBW7rE6mCBzmTRxo;Raspão (feat. Simone & Simaria) - Ao Vivo;62;True;"Simone & Simaria; Henrique & Diego";2;['funk carioca, pop nacional, sertanejo pop, sertanejo universitario', 'brazilian edm, sertanejo, sertanejo pop, sertanejo universitario'];0.018978165979035292;3.0;0.598;0.885;0.648
1ZPac6DuD1QbyHG7KJibFW;Treme Treme;43;False;MC Loma e As Gêmeas Lacração;1;['baile pop, brega funk, funk carioca'];0.0;3.0;0.847;0.92;0.968
6HaTYIUKd8SzdvGOfutBRD;Poesia Acústica #2: Sobre Nós;68;True;"Pineapple StormTv; Luiz Lins; Delacruz; BK; Maria; Ducon; Diomedes Chinaski; Kayuá; Salve Malak";9;['rap baiano, trap brasileiro', 'brazilian hip hop, pernambuco alternative', 'brazilian hip hop, pop nacional', 'brazilian hip hop', 'baile pop, pop nacional', '', 'brazilian hip hop', 'brazilian hip hop', ''];0.0003806023357522118;0.6666666666666666;0.61;0.641;0.802
12SJpYZEdj4kzWZ8FPFg4Y;All The Stars (with SZA);7;True;"Kendrick Lamar; SZA";2;['conscious hip hop, hip hop, rap, west coast rap', 'pop, pop rap, rap'];0.01272577996715928;3.0;0.715;0.62;0.456
4G1i3FrLYRge4Z2ubJiOW3;Paralisa;50;True;"MC WM; MC Loma e As Gêmeas Lacração";2;['baile pop, brazilian edm, funk carioca, funk ostentacao', 'baile pop, brega funk, funk carioca'];0.0076789336424224865;2.5;0.848;0.934;0.971
2GfxgssRHvY1azHtaRqKoK;Paredes - Ao Vivo;67;False;Jorge & Mateus;1;['sertanejo, sertanejo universitario'];0.023197784861070866;2.0;0.619;0.925;0.802
0WvRK6cO0KhiHDXDl1AGok;Anjo Moderno - Ao Vivo;59;False;Jorge & Mateus;1;['sertanejo, sertanejo universitario'];0.023197784861070866;2.0;0.733;0.777;0.629
6Ep6BzIOB9tz3P4sWqiiAB;Radioactive;15;False;Imagine Dragons;1;['modern rock, rock'];0.0;2.0;0.473;0.777;0.21
